Nom_Barri,Activitats de la construcció,Activitats de transport ,Activitats de transport i emmagatzematge,Activitats emmagatzematge,Activitats immobiliàries,Activitats industrials,Administració,Agències de viatge,Altres,Altres ( per exemple VENDING),Altres equipaments esportius,Aparells domèstics,Arranjaments,Arts gràfiques,Associacions,Autoservei / Supermercat,Bars   / CIBERCAFÈ,Bars especials amb actuació / Bars musicals / Discoteques /PUB,Basars,Begudes,Calçat i pell,Carn i Porc,Centres d'estètica,Combustibles i carburants,Drogueria i perfumeria,En reforma,Ensenyament,Equipaments culturals i recreatius,Equipaments religiosos,Esports,Fabricació tèxtil,Farmàcies PARAFARMÀCIA,Finances i assegurances,Floristeries,Fotografia,Fruites i verdures,Gimnàs /fitnes,Grans magatzems i hipermercats,"Herbolaris, dietètica i NUTRICIÓ",Informàtica,Joguines i esports,"Joieria, rellotgeria i bijuteria","Llibres, diaris i revistes",Locals buits en lloguer,Locals buits en venda,Locals buits en venda i lloguer,Locutoris,"Manteniment, neteja i similars",Maquinària,Material equipament llar,Merceria,Mobles i articles fusta i metall,Música,Ous i aus,"Pa, pastisseria i làctics",Parament ferreteria,Peix i marisc,Perruqueries,Plats preparats (no degustació),Pàrquings i garatges,Reparacions (Electrodomèstics i automòbils),Restaurants,Sanitat i assistència,"Segells, monedes i antiguitats",Sense informació,Sense informació - Havia tingut activitat (rètol),Serveis Socials,Serveis a les empreses i oficines,Serveis de menjar take away MENJAR RÀPID,Serveis de telecomunicacions,Souvenirs,Souvenirs i basars,Tabac i articles fumadors,Tintoreries,Vehicles,Vestir,Veterinaris / Mascotes,Xocolateries / Geladeries / Degustació,altres,serveis d'allotjament,serveis de menjar i begudes,Òptiques ,Òptiques i fotografia
Pedralbes,7,3,0,1,3,0,9,0,4,0,2,0,1,5,2,6,0,1,2,0,2,1,5,1,0,4,43,4,6,0,0,8,11,1,1,2,2,0,0,0,2,3,3,1,1,3,0,2,0,1,1,1,0,0,10,2,0,10,0,3,0,32,6,0,18,3,5,26,1,0,0,0,2,2,0,6,3,0,0,4,0,3,0
Porta,37,4,0,17,7,15,2,4,26,0,6,1,15,6,11,30,57,1,6,4,11,11,12,1,7,10,31,10,6,0,0,14,14,3,0,16,4,1,5,13,4,12,5,26,11,12,4,8,0,15,1,10,1,0,18,4,2,58,5,2,27,31,19,0,198,138,7,52,12,3,0,0,4,4,4,33,6,1,0,3,0,6,0
Provençals del Poblenou,20,5,0,29,6,22,8,1,42,0,0,0,3,7,8,17,50,0,2,0,1,4,9,3,2,6,23,4,4,0,0,14,9,1,0,4,5,0,1,4,4,0,2,10,5,12,0,3,2,6,0,1,1,0,6,5,3,18,0,2,21,33,18,0,201,71,2,30,4,2,0,0,4,1,5,7,1,0,2,1,0,1,0
Sant Andreu,107,7,0,55,31,23,12,6,62,0,6,6,24,30,36,59,126,4,12,4,18,36,41,2,20,18,93,21,5,0,3,39,37,6,6,29,14,0,7,18,12,15,15,59,18,17,4,23,0,22,6,14,0,4,41,13,13,101,7,4,44,84,86,3,242,166,11,112,22,11,0,0,13,13,6,73,16,6,0,1,0,15,0
Sant Antoni,27,13,2,34,36,4,7,9,64,0,6,11,21,17,23,91,165,13,18,19,32,36,38,2,30,34,44,28,6,2,4,33,33,11,3,32,8,0,17,59,16,23,21,38,7,12,4,12,5,25,10,28,7,13,49,16,22,86,5,30,33,195,47,4,131,59,9,24,13,1,7,6,15,12,6,144,17,5,3,23,0,9,0
Sant Genís dels Agudells,4,0,0,1,0,3,0,1,2,0,1,1,0,0,1,5,0,0,1,0,0,1,1,1,1,0,8,3,2,0,0,5,4,0,1,1,0,0,0,2,0,0,0,3,0,0,0,1,0,1,1,0,0,0,2,1,1,5,0,0,5,14,5,0,35,2,3,1,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0
Sant Gervasi - Galvany,52,8,0,11,52,21,7,19,62,1,2,4,39,15,15,69,117,43,10,8,62,48,102,1,29,59,62,21,11,1,15,40,71,13,2,32,30,0,12,21,18,58,14,81,15,42,0,3,0,70,25,59,3,14,47,9,24,119,11,35,31,206,122,8,222,51,10,235,66,11,0,1,17,16,28,274,19,2,0,22,0,24,1
Sant Gervasi - la Bonanova,29,6,0,16,18,6,7,4,27,1,7,0,14,10,12,25,40,2,6,2,12,14,38,1,4,16,70,9,12,0,11,19,30,9,2,11,15,0,3,9,5,10,5,36,0,12,0,4,0,21,11,5,0,8,22,3,7,26,3,10,15,72,84,3,103,34,11,126,13,1,0,0,7,8,12,74,9,3,0,13,0,5,0
Sant Martí de Provençals,28,0,0,12,15,2,3,2,26,0,5,2,12,7,15,24,66,0,5,2,5,22,13,0,6,6,36,14,5,0,1,14,9,2,2,15,4,0,8,9,0,5,4,9,10,1,2,12,0,9,2,3,1,7,16,8,8,42,4,1,14,26,27,0,87,94,3,35,6,4,0,0,4,4,3,18,7,2,1,0,0,4,0
"Sant Pere, Santa Caterina i la Ribera",21,24,0,51,17,14,20,2,66,1,1,6,9,16,41,54,99,29,40,10,54,30,40,0,18,29,39,56,10,0,15,23,17,6,1,22,4,0,4,5,7,48,7,33,8,27,4,0,1,28,7,6,3,8,39,2,18,46,3,7,2,176,12,4,229,155,14,39,37,8,41,0,11,10,1,175,7,20,0,32,0,13,0
Sants,80,14,0,25,33,16,0,11,91,0,3,7,25,23,50,68,101,10,15,10,26,27,54,0,17,40,59,19,5,0,4,29,33,8,4,27,9,0,11,19,19,17,15,41,8,15,6,11,1,13,7,12,1,1,48,12,18,83,8,11,45,129,56,1,373,154,7,60,15,6,6,0,8,13,10,64,13,3,0,15,0,13,0
Sants - Badal,40,5,0,33,15,18,1,5,17,0,3,3,7,5,7,33,34,6,13,3,8,6,32,1,8,12,11,6,6,0,5,14,20,3,4,16,2,0,2,10,2,7,1,34,10,8,1,6,2,20,5,7,1,0,15,3,2,30,2,4,27,51,23,0,252,37,4,37,10,4,0,0,6,6,2,24,6,4,0,4,0,3,0
Sarrià,21,4,0,19,26,4,8,6,22,0,7,0,11,5,15,25,24,5,4,5,16,17,31,1,12,20,63,19,11,0,3,13,16,6,1,15,11,0,5,4,4,8,9,20,0,5,0,1,0,16,9,5,1,5,21,4,11,34,6,8,18,43,58,1,120,23,14,143,10,4,0,0,5,8,6,64,8,2,0,10,0,5,0
Torre Baró,2,0,0,1,0,0,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallbona,3,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallcarca i els Penitents,13,3,0,11,3,2,1,1,8,1,5,0,1,0,7,17,2,0,3,2,2,4,1,3,3,5,31,7,4,0,0,14,5,5,2,4,1,0,1,2,1,4,2,5,2,2,0,1,0,7,1,1,0,0,11,2,0,9,0,6,20,30,20,0,144,19,8,38,3,3,8,0,2,2,5,5,3,0,0,4,0,0,0
"Vallvidrera, el Tibidabo i les Planes",1,3,0,1,2,1,4,0,2,0,0,1,1,0,2,2,0,0,0,1,0,1,1,0,1,0,3,5,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,2,0,0,1,9,3,0,6,0,3,2,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0
Verdun,20,2,0,12,7,7,1,4,3,0,2,3,8,3,5,22,9,0,8,2,6,6,11,1,9,6,15,3,5,0,1,7,12,1,0,8,0,0,1,4,1,4,2,23,8,6,4,1,1,17,3,7,0,0,16,4,2,27,0,0,13,37,9,0,152,67,3,8,4,0,0,0,3,3,1,26,4,0,0,0,0,5,0
Vilapicina i la Torre Llobeta,41,3,0,24,14,14,0,2,11,0,6,3,17,11,4,35,9,0,11,6,9,10,21,0,8,9,42,9,3,0,0,15,21,2,1,10,3,0,9,14,6,7,5,36,10,16,7,6,0,22,2,14,0,0,24,5,2,69,0,8,40,101,38,0,302,90,10,40,7,1,0,0,5,8,11,24,9,0,0,1,0,5,0
el Baix Guinardó,33,5,0,21,12,1,3,4,11,1,2,1,7,12,9,26,23,2,5,3,4,12,16,0,3,13,27,8,3,0,0,13,15,2,2,11,4,0,5,7,2,5,6,17,8,11,3,8,0,14,4,4,0,0,19,2,1,32,0,7,37,68,26,0,224,34,6,36,5,1,1,0,2,7,6,17,6,2,0,7,0,2,0
el Barri Gòtic,5,27,0,30,3,8,32,1,50,2,0,3,2,10,28,40,93,31,58,4,86,8,37,0,28,50,17,63,13,0,2,19,30,3,2,5,2,1,4,7,25,94,18,33,3,16,1,0,0,17,5,3,4,0,40,5,1,31,2,7,0,225,4,15,180,112,7,24,59,3,110,1,23,5,1,258,3,28,0,75,0,27,0
el Besòs i el Maresme,9,2,0,31,5,12,4,1,26,0,5,2,3,3,6,30,59,0,6,0,1,20,5,1,4,3,15,7,2,0,0,13,8,1,1,16,0,0,2,5,0,3,2,2,7,1,8,1,0,3,1,2,0,8,13,3,9,23,0,1,7,20,12,0,87,48,1,8,6,1,0,0,4,7,1,7,1,0,0,1,0,3,0
el Bon Pastor,47,9,0,11,3,83,3,2,25,2,4,3,1,5,6,15,6,0,6,0,17,13,9,8,13,2,8,5,3,0,0,9,8,1,1,5,0,3,3,8,10,12,1,14,6,6,1,5,1,13,0,10,0,0,12,6,4,13,0,1,38,73,3,0,208,57,5,3,17,10,0,0,2,2,26,67,5,1,2,1,0,7,0
el Camp d'en Grassot i Gràcia Nova,78,8,6,13,24,12,4,11,58,0,4,5,20,22,12,53,59,2,10,5,10,43,49,1,10,30,46,14,6,7,0,22,26,8,4,35,5,0,18,15,10,13,19,39,21,20,1,2,0,31,9,15,3,17,30,5,34,63,0,14,54,56,53,3,228,22,12,66,11,6,1,1,11,11,12,55,10,2,0,5,1,8,0
el Camp de l'Arpa del Clot,63,6,0,40,22,12,3,7,35,0,0,5,26,12,23,52,75,1,7,5,13,16,43,1,23,8,37,13,5,0,3,20,23,3,6,20,8,0,11,16,4,10,8,28,15,9,6,19,2,20,3,8,0,2,34,11,6,80,5,8,41,94,42,3,235,156,10,79,19,6,1,0,9,10,7,37,6,3,0,12,0,6,0
el Carmel,37,1,0,11,19,1,5,5,59,0,0,4,8,2,5,35,60,0,10,2,7,34,16,0,10,2,23,5,3,0,0,19,15,2,0,26,1,0,4,9,3,5,4,26,23,8,3,6,0,9,3,10,0,13,19,5,8,53,2,1,20,12,18,1,398,112,6,8,2,2,1,0,5,4,0,16,9,0,0,0,0,4,0
el Clot,33,6,0,32,16,8,2,1,23,0,6,5,11,14,19,35,63,2,7,8,2,15,18,2,8,10,37,10,4,0,2,17,14,3,3,19,4,0,5,9,6,3,5,22,4,4,3,11,2,10,3,8,0,6,23,4,13,43,2,1,19,56,14,6,120,101,3,67,10,2,0,0,6,5,9,30,8,3,0,1,0,4,0
el Coll,7,0,0,3,1,5,0,0,0,0,1,0,1,2,2,8,0,0,1,0,0,3,1,0,0,2,1,2,1,0,0,4,4,1,0,2,0,0,0,0,0,1,1,2,3,2,2,0,0,1,1,0,0,0,3,1,1,2,1,0,2,5,3,0,99,14,0,9,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
el Congrés i els Indians,35,4,0,18,14,3,0,4,6,0,4,1,9,8,15,14,5,0,3,2,2,6,12,1,2,5,30,5,4,0,0,9,9,2,1,8,1,0,4,6,1,3,2,15,12,3,1,7,0,11,1,4,0,0,10,3,2,27,0,0,23,74,22,1,184,33,5,16,4,2,0,0,4,2,2,10,3,0,0,1,1,2,0
el Fort Pienc,29,14,0,84,14,6,5,7,62,0,4,2,9,14,17,57,73,1,10,3,7,14,41,1,16,20,29,22,5,0,20,25,16,2,3,13,13,1,4,11,13,8,10,14,7,11,0,1,11,22,4,22,0,4,22,7,7,22,4,11,33,113,23,17,100,47,5,80,7,2,1,2,7,8,18,39,6,1,0,14,0,4,0
el Guinardó,68,6,0,57,21,14,0,3,19,1,10,3,23,14,24,48,19,2,7,3,8,13,23,1,14,23,36,10,8,0,0,23,24,5,4,19,1,0,6,10,3,4,8,33,14,14,2,10,1,17,2,6,0,4,25,5,9,45,1,8,46,87,33,1,557,97,12,83,6,2,1,0,7,15,7,26,11,0,0,5,0,5,0
el Parc i la Llacuna del Poblenou,8,15,0,30,4,16,10,2,61,0,0,0,4,6,6,24,78,6,5,2,8,3,5,3,9,9,26,10,5,0,2,9,7,3,2,3,6,1,2,3,6,3,1,6,3,3,0,4,2,6,0,7,0,1,12,5,0,11,1,8,29,53,8,1,202,47,1,67,16,11,0,0,6,4,9,43,3,1,0,15,0,2,1
el Poble Sec,36,17,0,44,14,27,11,7,26,0,13,3,19,13,30,68,87,24,15,7,2,13,21,2,10,37,33,54,10,0,4,17,18,3,1,16,4,0,3,4,4,5,9,11,7,7,4,6,0,11,3,5,0,3,28,7,3,46,3,9,37,127,18,1,513,77,14,84,25,0,1,0,6,11,3,7,5,2,0,31,0,0,0
el Poblenou,59,18,1,43,24,45,3,6,45,0,2,3,12,16,25,55,104,3,7,8,12,19,26,5,11,24,66,29,5,9,3,22,26,8,2,16,5,0,6,14,11,6,13,26,15,8,3,13,0,11,5,6,3,6,34,10,7,55,5,5,32,141,50,4,169,67,9,145,30,25,1,0,8,6,9,42,6,6,0,17,0,8,0
el Putxet i el Farró,33,2,0,13,24,7,1,5,16,0,3,2,12,8,22,43,32,3,10,3,11,8,28,2,5,24,49,15,4,0,7,17,17,6,5,15,15,0,5,10,7,8,5,33,8,14,3,1,0,17,11,5,0,0,26,3,5,50,3,9,19,66,57,2,265,55,12,160,12,4,0,0,5,14,7,31,4,1,0,6,0,5,0
el Raval,27,23,0,55,10,18,18,26,106,0,3,16,26,19,78,102,133,15,29,7,41,70,31,0,26,27,52,62,25,0,2,30,36,1,5,105,4,0,7,89,10,29,18,9,6,14,15,0,1,32,3,5,16,23,54,15,45,85,3,13,9,210,14,15,270,232,25,57,93,8,57,0,18,20,1,118,4,9,0,80,0,8,0
el Turó de la Peira,15,1,0,10,9,2,2,2,25,0,2,0,6,1,8,13,3,1,1,1,6,32,6,0,9,5,10,2,5,0,0,6,4,2,1,21,1,0,5,4,1,6,0,9,2,1,6,0,1,4,3,2,0,7,15,2,15,30,0,0,7,47,13,0,160,29,2,14,1,0,0,0,2,5,0,17,3,0,0,0,0,2,0
l'Antiga Esquerra de l'Eixample,39,9,11,63,53,1,7,24,113,0,2,9,25,34,22,108,163,11,16,17,32,36,77,2,22,48,45,71,11,4,4,38,60,11,7,24,7,1,14,32,22,29,24,30,9,29,3,6,1,66,8,32,3,11,78,8,20,124,3,55,46,448,99,4,87,51,6,75,41,1,1,4,15,16,14,146,14,8,2,41,17,13,1
la Barceloneta,9,10,0,17,10,0,6,1,10,0,1,0,2,2,7,28,3,2,8,2,2,13,13,0,6,4,17,9,3,0,0,8,7,1,2,11,2,0,3,5,7,2,5,4,3,4,1,0,0,2,1,1,0,7,24,4,9,16,0,4,5,179,14,0,123,31,7,13,11,1,3,0,3,5,0,20,5,0,0,5,0,4,0
la Bordeta,24,1,0,15,5,9,1,0,12,0,1,2,7,5,11,22,30,0,6,1,1,5,14,0,4,4,27,11,10,0,1,10,13,1,0,9,4,0,2,4,0,0,1,16,7,9,2,3,2,6,1,0,0,1,13,2,0,22,1,2,17,18,11,0,94,89,3,36,9,2,0,0,3,4,3,7,4,1,0,4,0,0,0
la Clota,5,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la Dreta de l'Eixample,39,4,104,14,64,2,36,36,128,0,0,6,18,51,51,136,235,26,3,12,94,29,71,2,54,67,97,79,17,3,5,57,110,9,2,29,19,2,19,41,53,68,42,59,16,21,3,15,6,79,8,46,4,11,94,11,11,113,5,50,43,393,105,44,138,125,11,145,63,2,7,23,30,16,18,379,15,11,0,138,55,8,24
la Font d'en Fargues,3,0,0,22,3,2,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,1,2,0,1,1,16,2,1,0,0,6,1,0,0,1,1,0,0,0,0,1,0,3,1,1,0,0,0,1,0,1,0,0,1,1,0,3,0,0,5,13,3,0,32,18,5,11,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0
la Font de la Guatlla,8,2,0,6,1,6,1,0,1,0,0,0,1,4,5,11,0,1,3,1,0,4,8,0,3,4,11,2,4,0,3,4,1,1,1,2,0,0,1,1,1,0,0,3,7,5,3,1,2,1,0,0,0,0,10,1,1,5,0,0,7,27,4,0,100,9,4,17,0,0,0,0,2,2,1,0,5,0,1,5,0,0,0
la Guineueta,6,0,0,6,2,0,14,0,16,0,3,0,3,2,7,11,0,0,4,2,1,12,5,1,1,4,18,4,4,0,0,10,7,1,0,7,0,0,2,1,3,3,3,9,1,2,0,2,1,2,1,0,0,4,6,2,6,17,0,1,7,41,19,0,146,24,4,18,3,2,0,0,2,2,2,5,4,0,0,0,0,0,0
la Marina de Port,12,7,1,4,7,1,7,2,10,0,4,2,3,2,7,27,0,0,6,1,4,17,6,2,9,5,18,11,7,0,1,14,14,3,1,14,1,1,3,6,1,2,4,13,9,3,2,5,0,2,3,7,0,5,24,1,8,26,0,7,11,93,24,0,148,26,4,25,3,1,0,0,6,5,4,11,3,0,1,1,0,3,0
la Marina del Prat Vermell,5,20,0,20,0,39,5,0,1,0,1,0,0,6,2,1,0,0,1,0,0,1,0,2,0,1,2,0,1,0,2,1,1,0,0,0,1,1,0,1,1,0,0,1,1,2,0,2,2,0,0,2,0,0,1,0,0,0,0,0,21,12,0,0,44,5,3,26,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0
la Maternitat i Sant Ramon,25,4,0,17,13,3,3,5,14,0,11,2,12,9,15,29,49,6,4,0,1,4,22,1,2,8,41,12,3,0,1,20,18,2,0,7,4,0,3,8,2,1,5,20,16,7,1,5,1,8,2,10,1,0,15,2,1,35,3,7,17,58,32,0,95,59,4,75,7,4,6,0,7,8,4,7,5,1,0,9,0,2,0
la Nova Esquerra de l'Eixample,46,12,0,36,35,4,9,16,76,0,6,3,29,27,16,102,151,6,25,6,14,20,100,0,19,25,68,31,10,0,2,35,41,10,13,29,17,1,14,29,12,25,22,39,9,17,7,12,2,31,5,45,1,2,54,12,6,107,3,29,70,227,90,6,201,57,7,101,31,10,1,0,13,16,32,69,19,2,1,25,0,10,0
la Prosperitat,58,2,0,25,13,8,0,4,22,0,2,5,11,6,15,41,77,1,10,1,8,13,23,0,8,7,21,8,7,0,1,13,15,3,1,17,7,0,7,8,7,4,3,34,26,10,4,4,1,15,2,5,0,1,20,3,1,61,5,2,33,44,23,1,58,141,6,32,9,3,0,0,6,9,2,22,5,0,0,0,0,6,0
la Sagrada Família,73,24,6,69,43,9,1,17,60,0,0,5,33,17,18,86,154,3,19,13,28,34,50,2,25,39,43,17,5,9,3,32,52,9,4,37,4,0,11,30,19,23,16,66,18,8,6,8,3,32,6,21,5,9,72,8,15,112,12,23,48,161,58,15,85,185,10,84,40,15,50,1,18,19,20,81,8,10,0,20,5,16,0
la Sagrera,27,10,0,17,10,5,4,4,15,1,3,0,11,10,14,26,3,1,4,4,6,24,11,1,4,15,35,17,6,0,0,18,15,3,0,21,2,2,5,6,1,3,3,21,3,5,5,3,6,21,1,4,0,6,25,3,10,32,0,3,19,93,22,0,133,45,4,27,8,3,0,0,5,5,3,12,9,0,0,2,0,3,0
la Salut,7,2,0,6,2,2,0,1,11,0,3,2,5,5,3,19,0,0,3,2,1,13,4,0,0,5,12,7,6,0,0,10,7,1,0,9,0,0,2,4,1,2,2,8,5,6,0,1,0,3,0,1,0,6,9,1,7,12,0,2,10,40,18,0,134,27,7,30,5,1,31,0,2,1,1,15,1,0,0,4,0,0,0
la Teixonera,20,1,0,3,2,3,1,0,5,0,0,0,1,1,1,17,1,0,3,0,1,11,1,0,2,0,4,3,1,0,0,7,2,0,1,8,0,0,1,1,0,1,0,6,13,3,0,0,1,2,0,0,0,4,6,2,3,14,0,0,9,24,3,0,152,24,2,11,1,1,0,0,1,0,3,0,1,0,0,0,1,0,0
la Trinitat Nova,5,1,0,1,0,0,4,0,6,0,0,0,0,1,2,4,1,0,0,0,0,5,0,0,1,1,4,4,2,0,0,4,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,3,0,4,5,0,0,2,10,4,0,31,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
la Trinitat Vella,10,1,0,5,2,2,1,1,2,0,4,0,2,2,7,11,0,0,4,0,1,8,4,1,2,1,8,6,3,0,0,6,3,0,0,3,0,0,0,2,0,1,0,9,8,4,2,3,0,0,0,0,0,0,4,1,1,7,0,0,4,28,2,0,171,23,4,3,3,0,0,0,2,3,0,1,1,0,0,0,0,1,0
la Vall d'Hebron,2,2,0,1,2,4,2,0,0,0,7,0,0,2,2,4,0,0,2,0,0,0,1,0,0,1,8,4,2,0,0,2,3,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,1,0,3,0,0,3,12,3,0,18,8,1,21,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
la Verneda i la Pau,50,11,0,18,11,93,0,3,20,0,3,2,12,14,9,33,91,0,9,6,4,24,13,0,10,6,23,9,6,0,0,19,14,0,2,20,1,0,6,7,1,6,5,20,18,12,5,22,1,12,5,5,0,11,20,6,11,59,3,4,33,19,23,0,122,172,2,40,4,5,0,0,7,6,8,17,6,2,0,0,0,4,0
la Vila Olímpica del Poblenou,10,8,1,9,10,4,6,1,2,0,4,0,0,8,6,15,1,16,0,1,0,1,8,1,0,8,26,4,1,0,0,7,11,0,1,2,1,0,0,0,6,1,1,1,1,2,1,1,1,1,0,1,0,0,6,0,0,6,0,2,7,87,9,0,49,14,0,59,5,2,1,0,2,1,2,8,3,0,0,2,0,2,0
